Product_ID,Product_Name,Price,User_ID,Review_ID,Order_ID,Grouping_ID
82484,WOOD BLACK BOARD ANT WHITE FINISH,9.95,Heavenly,623340604,AGIZFDSHLSBZ7KHQ4FV65W7B3HMQ,100
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9.95,Henry,506705700,AHOZPYWO6WE5MLAZZPDUAWNKKNRQ,100
22464,HANGING METAL HEART LANTERN,9.95,matthew benz,180516670,AECC6GYWWLNCKSBG3DZDGFSYDOTA,100
21324,HANGING MEDINA LANTERN SMALL,14.95,Lindsey,842459581,AEOO6OOEO4QD7Z4F6C2FMZUCW7PA,100
22457,NATURAL SLATE HEART CHALKBOARD ,9.95,Michelle Montgomery,602469549,AEHSDCGRIMVOUG6ST35FJ4FMMW5Q,100
22469,HEART OF WICKER SMALL,4.95,rissia,362494582,AEBMSOME6YNIFY4XQ7D2YLVWVO2Q,100
22470,HEART OF WICKER LARGE,16.95,Julia B. Wenger,186164728,AGXV56HW7TKTKEGVIMMUQMBCAFWQ,100
22224,WHITE LOVEBIRD LANTERN,2.95,L Bauer,770413330,AEHB3GIOUHLLXJTETQOHBGBGCX6Q,100
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,4.25,Gwen Mason,224000280,AHDNFS55ZAXA3URINNMOCPR35GFA,100
22189,CREAM HEART CARD HOLDER,2.95,Sebastian Reid,166332972,AH5T526ODDURVWQRRAPJY7SDC7HA,100
22427,ENAMEL FLOWER JUG CREAM,0.85,BigKahuna,206349197,AGSXTIXZYZ4CNO5NAJXURXFKLAAQ,100
22428,ENAMEL FIRE BUCKET CREAM,12.75,Liathegr8,216253089,AEAMBNKJXX47K6ZEWAYXTTEAW47Q,100
22424,ENAMEL BREAD BIN CREAM,8.5,Alex,844030962,AFFLAVXOKYKYQ4XU6RRU44VUJVZA,100
22783,SET 3 WICKER OVAL BASKETS W LIDS,9.95,bluntcritic,248675815,AFWWU2IS2YYYRMKQ575CQG6AZ66Q,100
22961,JAM MAKING SET PRINTED,2.95,MR. A,661368130,AEEMRMFGQ5ILA3RMQ3BAD5KVQ5XA,200
22960,JAM MAKING SET WITH JARS,2.95,kevin blackwood,119866813,AECA437QLK3ZNWHW56WXP2M2TT7Q,200
22663,JUMBO BAG DOLLY GIRL DESIGN,6.95,David Atkinson,902932974,AG7FHTPMZ4CR6B6YUY2QTOCD2WWQ,300
85049A,TRADITIONAL CHRISTMAS RIBBONS,2.95,Vikram J,112519616,AGG6T7YLCTQ2B7ZNXWFLVJ72WMIA,100
22168,ORGANISER WOOD ANTIQUE WHITE ,1.25,Jena J.,783356287,AFO2J3QYGG5SBCLQIRUD7PAXYZGQ,100
22662,LUNCH BAG DOLLY GIRL DESIGN,8.5,Bobby Allen Hill,489073246,AHQ74GKVSDAKA6R5S6MQLLI75GUA,300
84880,WHITE WIRE EGG HOLDER,9.95,Shell,762050380,AEHVAG764ARMWSKX6PDVYM2IICFQ,100
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12.75,Susan Terri,744457517,AFI3GD2SMOX7LJ2NWF5R5CSVKQ6A,300
85099B,JUMBO BAG RED RETROSPOT,2.95,Becky Smith,780807534,AEUTJQSYCUZMPPKGGYL3FJTZCUDQ,300
79321,CHILLI LIGHTS,6.95,Girl from Jersey,743311289,AHUV2Q6GSZU3XX6CD7AO3UK23YDQ,100
22780,LIGHT GARLAND BUTTERFILES PINK,19.95,Jessica Vogel,876518383,AGGHEDQGEOTK7EPHEY6CCX7VDVVQ,100
22779,WOODEN OWLS LIGHT GARLAND ,1.25,Jon DeMott,393776531,AFAXQCNF3VKHUWMXVOULZMBFR6VA,100
22466,FAIRY TALE COTTAGE NIGHTLIGHT,1.45,Jason A. Snyder,839161022,AGX4IEVMH2RWF627I5NVFYVF7IDA,100
21731,RED TOADSTOOL LED NIGHT LIGHT,1.25,Paige,522179708,AHYQW4LPA27MAJKKGN3KAHD64L3A,100
21754,HOME BUILDING BLOCK WORD,1.65,Bella,898730116,AF5MOYCGGFMSPJDSDJARHWCETNVQ,100